ZoneID,ToZoneID,Latitude,Longitude,Distance,Band
120,131,55.821305,-3.1079024,535.7910693,525
120,132,52.083391,-0.74043165,93.07784103,100
120,133,51.669508,-3.7472281,256.9417653,250
120,134,51.575505,-2.963122,201.8442432,200
120,135,53.535359,-0.13874092,242.6837723,250
120,136,53.58541,-0.58180055,250.5454924,250
120,137,51.396835,-2.7918913,188.8742917,200
120,138,52.561382,-1.6242395,171.1666954,175
120,139,52.953645,-1.1667638,192.8378029,200
120,140,52.501007,-1.4796809,159.8192314,150
120,141,54.977911,-1.6042217,415.8155204,425
120,142,52.664658,1.2261942,171.136153,175
120,143,52.683596,0.63288955,155.7547678,150
120,144,55.883684,-3.9537938,565.1758357,575
120,145,54.251429,-1.3413861,333.3374648,325
120,146,54.282636,-0.73699003,328.7911891,325
120,147,54.196329,-1.8779744,338.6278921,350
120,148,52.226932,-1.0178316,116.6736598,125
120,149,55.493133,-1.9473639,476.8812369,475
120,150,55.143162,-1.7399081,435.8274887,425
120,151,55.075222,-2.2449481,438.4527623,450
120,152,53.350538,-0.97845631,230.3572976,225
120,153,53.175473,-1.1781529,216.0204161,225
120,154,53.109364,-0.92406569,203.5818508,200
120,155,52.945709,-1.0450904,188.957959,200
120,156,53.032072,-1.25544,203.2108116,200
120,157,53.552537,-2.0482769,278.7274028,275
120,158,51.753525,-1.2394985,91.89340169,100
120,159,51.925865,-1.3820137,110.320443,100
120,160,51.638223,-1.2829723,89.34123989,100
120,161,51.855366,-4.8990199,338.3966378,350
120,162,50.740807,-1.9657793,148.8210105,150
120,163,52.34389,-3.4351733,256.0150008,250
120,164,56.539372,-3.8994538,628.8334917,625
120,165,52.603089,-0.25474139,139.4386675,150
120,166,50.392368,-4.1124463,303.2610108,300
120,167,50.818326,-1.0696442,91.47913712,100
120,168,53.856118,-2.8282211,334.7823531,325
120,169,54.56708,-0.99503762,362.6884452,375
120,170,53.607395,-2.1449745,287.2038595,275
120,171,53.408489,-1.2820255,242.7298482,250
120,172,52.64191,-0.62708232,148.0881201,150
120,173,51.451612,-0.99079074,64.33812238,75
120,174,55.837199,-4.5689159,580.3284154,575
120,175,52.393824,-1.3181732,143.68399,150
120,176,52.514906,-2.0077811,185.0515096,175
120,177,53.567704,-3.0679452,319.1030881,325
120,178,53.78271,-1.1279856,279.3425992,275
120,179,53.402943,-1.5603024,249.1872401,250
120,180,52.662841,-2.7737459,235.3343736,225
120,181,52.430988,-1.7323921,165.1794786,175
120,182,51.896651,-0.52009757,67.60652301,75
120,183,52.822126,-1.5349766,191.3248888,200
120,184,51.54676,-2.4630228,167.0323781,175
120,185,53.457191,-2.7006305,294.1096217,300
120,186,52.847888,-2.1749745,219.5520845,225
120,187,53.389914,-2.1176342,265.5609523,275
120,188,54.554563,-1.3066721,365.4523045,375
120,189,54.87175,-1.4583633,402.0583239,400
120,190,51.656169,-4.0770246,279.4872922,275
120,191,51.587322,-1.733721,117.8151057,125
120,192,52.865762,-2.7688556,249.3630393,250
120,193,52.52235,-2.7349584,224.066261,225
120,194,51.074083,-2.6696515,183.6060082,175
120,195,51.108266,-3.2722365,224.6154179,225
120,196,55.30146,-4.7340931,537.3304024,525
120,197,55.569299,-3.831139,530.8361214,525
120,198,52.604645,-2.2595262,204.361361,200
120,199,51.668039,-3.3279011,228.1311875,225
120,200,51.716457,-3.1342315,215.6897696,225
120,201,50.914008,-1.4005122,104.6318053,100
120,202,51.930289,0.2941856,69.08450791,75
120,203,56.254927,-4.2096012,609.1089841,600
